## @file 
# Early ALIGO (2015) ASD
9.0000000e+00 2.0315133e-21
9.0203998e+00 2.4115253e-21
9.0408458e+00 3.0978500e-21
9.0613382e+00 4.6064717e-21
9.0818770e+00 1.0007255e-20
9.1024624e+00 4.1375496e-20
9.1230944e+00 6.7000822e-21
9.1437733e+00 3.7140344e-21
9.1644989e+00 2.6361497e-21
9.1852716e+00 2.0976150e-21
9.2060913e+00 1.7837581e-21
9.2269583e+00 1.5832162e-21
9.2478725e+00 1.4467633e-21
9.2688341e+00 1.3494487e-21
9.2898433e+00 1.2774003e-21
9.3109000e+00 1.2223720e-21
9.3320045e+00 1.1792069e-21
9.3531568e+00 1.1445471e-21
9.3743571e+00 1.1161329e-21
9.3956054e+00 1.0924006e-21
9.4169019e+00 1.0722422e-21
9.4382467e+00 1.0548558e-21
9.4596398e+00 1.0396507e-21
9.4810815e+00 1.0261843e-21
9.5025717e+00 1.0141201e-21
9.5241107e+00 1.0031991e-21
9.5456984e+00 9.9321909e-22
9.5673351e+00 9.8402090e-22
9.5890209e+00 9.7547772e-22
9.6107557e+00 9.6748765e-22
9.6325399e+00 9.5996809e-22
9.6543734e+00 9.5285155e-22
9.6762565e+00 9.4608248e-22
9.6981891e+00 9.3961485e-22
9.7201714e+00 9.3341028e-22
9.7422036e+00 9.2743655e-22
9.7642857e+00 9.2166648e-22
9.7864179e+00 9.1607701e-22
9.8086002e+00 9.1064848e-22
9.8308328e+00 9.0536404e-22
9.8531158e+00 9.0020922e-22
9.8754493e+00 8.9517150e-22
9.8978334e+00 8.9024001e-22
9.9202683e+00 8.8540530e-22
9.9427540e+00 8.8065911e-22
9.9652907e+00 8.7599418e-22
9.9878784e+00 8.7140414e-22
1.0010517e+01 8.6688336e-22
1.0033208e+01 8.6242686e-22
1.0055949e+01 8.5803021e-22
1.0078743e+01 8.5368948e-22
1.0101588e+01 8.4940114e-22
1.0124484e+01 8.4516204e-22
1.0147433e+01 8.4096935e-22
1.0170433e+01 8.3682052e-22
1.0193486e+01 8.3271326e-22
1.0216591e+01 8.2864550e-22
1.0239749e+01 8.2461536e-22
1.0262958e+01 8.2062112e-22
1.0286221e+01 8.1666124e-22
1.0309536e+01 8.1273430e-22
1.0332904e+01 8.0883901e-22
1.0356325e+01 8.0497418e-22
1.0379799e+01 8.0113874e-22
1.0403327e+01 7.9733167e-22
1.0426907e+01 7.9355207e-22
1.0450541e+01 7.8979908e-22
1.0474229e+01 7.8607193e-22
1.0497970e+01 7.8236990e-22
1.0521765e+01 7.7869230e-22
1.0545615e+01 7.7503852e-22
1.0569518e+01 7.7140798e-22
1.0593475e+01 7.6780014e-22
1.0617487e+01 7.6421450e-22
1.0641553e+01 7.6065058e-22
1.0665673e+01 7.5710794e-22
1.0689849e+01 7.5358617e-22
1.0714079e+01 7.5008489e-22
1.0738364e+01 7.4660373e-22
1.0762704e+01 7.4314234e-22
1.0787099e+01 7.3970040e-22
1.0811549e+01 7.3627760e-22
1.0836055e+01 7.3287366e-22
1.0860617e+01 7.2948830e-22
1.0885234e+01 7.2612126e-22
1.0909907e+01 7.2277229e-22
1.0934636e+01 7.1944115e-22
1.0959421e+01 7.1612763e-22
1.0984262e+01 7.1283151e-22
1.1009159e+01 7.0955258e-22
1.1034113e+01 7.0629066e-22
1.1059124e+01 7.0304554e-22
1.1084191e+01 6.9981706e-22
1.1109315e+01 6.9660504e-22
1.1134495e+01 6.9340931e-22
1.1159733e+01 6.9022972e-22
1.1185028e+01 6.8706612e-22
1.1210381e+01 6.8391835e-22
1.1235791e+01 6.8078627e-22
1.1261258e+01 6.7766975e-22
1.1286784e+01 6.7456864e-22
1.1312367e+01 6.7148283e-22
1.1338008e+01 6.6841219e-22
1.1363707e+01 6.6535659e-22
1.1389465e+01 6.6231592e-22
1.1415280e+01 6.5929006e-22
1.1441155e+01 6.5627890e-22
1.1467088e+01 6.5328234e-22
1.1493080e+01 6.5030025e-22
1.1519130e+01 6.4733255e-22
1.1545240e+01 6.4437914e-22
1.1571409e+01 6.4143990e-22
1.1597637e+01 6.3851475e-22
1.1623925e+01 6.3560359e-22
1.1650272e+01 6.3270633e-22
1.1676679e+01 6.2982288e-22
1.1703146e+01 6.2695314e-22
1.1729673e+01 6.2409704e-22
1.1756260e+01 6.2125449e-22
1.1782907e+01 6.1842540e-22
1.1809615e+01 6.1560969e-22
1.1836383e+01 6.1280728e-22
1.1863212e+01 6.1001809e-22
1.1890102e+01 6.0724204e-22
1.1917052e+01 6.0447905e-22
1.1944064e+01 6.0172905e-22
1.1971137e+01 5.9899196e-22
1.1998271e+01 5.9626771e-22
1.2025467e+01 5.9355623e-22
1.2052725e+01 5.9085744e-22
1.2080044e+01 5.8817127e-22
1.2107425e+01 5.8549765e-22
1.2134868e+01 5.8283651e-22
1.2162374e+01 5.8018779e-22
1.2189941e+01 5.7755141e-22
1.2217572e+01 5.7492731e-22
1.2245264e+01 5.7231542e-22
1.2273020e+01 5.6971568e-22
1.2300839e+01 5.6712803e-22
1.2328720e+01 5.6455239e-22
1.2356665e+01 5.6198871e-22
1.2384673e+01 5.5943691e-22
1.2412745e+01 5.5689695e-22
1.2440880e+01 5.5436876e-22
1.2469079e+01 5.5185227e-22
1.2497342e+01 5.4934743e-22
1.2525669e+01 5.4685417e-22
1.2554060e+01 5.4437244e-22
1.2582516e+01 5.4190218e-22
1.2611036e+01 5.3944333e-22
1.2639621e+01 5.3699583e-22
1.2668270e+01 5.3455962e-22
1.2696985e+01 5.3213465e-22
1.2725764e+01 5.2972086e-22
1.2754609e+01 5.2731820e-22
1.2783519e+01 5.2492660e-22
1.2812495e+01 5.2254602e-22
1.2841536e+01 5.2017639e-22
1.2870644e+01 5.1781767e-22
1.2899817e+01 5.1546980e-22
1.2929056e+01 5.1313272e-22
1.2958362e+01 5.1080639e-22
1.2987734e+01 5.0849075e-22
1.3017172e+01 5.0618574e-22
1.3046677e+01 5.0389132e-22
1.3076250e+01 5.0160744e-22
1.3105889e+01 4.9933403e-22
1.3135595e+01 4.9707106e-22
1.3165369e+01 4.9481846e-22
1.3195210e+01 4.9257620e-22
1.3225119e+01 4.9034422e-22
1.3255096e+01 4.8812246e-22
1.3285140e+01 4.8591088e-22
1.3315253e+01 4.8370944e-22
1.3345434e+01 4.8151808e-22
1.3375683e+01 4.7933675e-22
1.3406001e+01 4.7716541e-22
1.3436388e+01 4.7500400e-22
1.3466843e+01 4.7285248e-22
1.3497368e+01 4.7071081e-22
1.3527961e+01 4.6857893e-22
1.3558624e+01 4.6645680e-22
1.3589357e+01 4.6434437e-22
1.3620159e+01 4.6224159e-22
1.3651031e+01 4.6014843e-22
1.3681973e+01 4.5806483e-22
1.3712985e+01 4.5599074e-22
1.3744068e+01 4.5392613e-22
1.3775221e+01 4.5187095e-22
1.3806444e+01 4.4982515e-22
1.3837739e+01 4.4778869e-22
1.3869104e+01 4.4576153e-22
1.3900540e+01 4.4374361e-22
1.3932048e+01 4.4173490e-22
1.3963627e+01 4.3973536e-22
1.3995277e+01 4.3774494e-22
1.4027000e+01 4.3576359e-22
1.4058794e+01 4.3379128e-22
1.4090660e+01 4.3182796e-22
1.4122599e+01 4.2987359e-22
1.4154610e+01 4.2792813e-22
1.4186693e+01 4.2599154e-22
1.4218849e+01 4.2406377e-22
1.4251078e+01 4.2214478e-22
1.4283380e+01 4.2023453e-22
1.4315756e+01 4.1833299e-22
1.4348204e+01 4.1644011e-22
1.4380727e+01 4.1455584e-22
